Tracking_ID	gene_id	gene	locus	BAP_log2(fold_change)	BAP_test_stat	BAP_p_value	BAP_q_value	BAP_significant	BaP500_Log2FC_0	BaP500_Log2FC_1	BaP500_Log2FC_2	BaP500_Log2FC_3
ENSG00000104093	ENSG00000104093	DMXL2	chr15:51414096-51622833	0.898051	1.26244	0.00775	0.0492031	yes	1.076967444	1.09191724	1.041826748	0.206878186
ENSG00000165506	ENSG00000165506	DNAAF2	chr14:49625173-49635230	0.91767	2.03192	0.00015	0.00239372	yes	0.685682017	1.114522472	1.094275479	0.720277979
ENSG00000158486	ENSG00000158486	DNAH3	chr16:20933110-21180616	0.792744	1.33658	0.0033	0.0261534	yes	0.496402487	0.786326005	1.396366143	0.21628254
ENSG00000039139	ENSG00000039139	DNAH5	chr5:13690330-13944543	1.06237	2.48704	5.00E-05	0.000920822	yes	0.564425265	1.003997709	1.679172584	0.73696676
ENSG00000115423	ENSG00000115423	DNAH6	chr2:84516454-84819589	1.97827	2.08179	5.00E-05	0.000920822	yes	1.510119483	1.712899903	2.588322772	1.856098776
ENSG00000171595	ENSG00000171595	DNAI2	chr17:74274246-74314884	0.850462	1.83657	0.0004	0.00515795	yes	1.021155523	0.455981544	1.034207841	0.818086625
ENSG00000132002	ENSG00000132002	DNAJB1	chr19:14514769-14565980	-0.81374	-1.98604	5.00E-05	0.000920822	yes	-1.006812239	-0.793857705	-1.050725565	-0.477042699
ENSG00000136770	ENSG00000136770	DNAJC1	chr10:21756536-22003769	-0.714414	-1.7812	0.00015	0.00239372	yes	-0.89814736	-1.031396694	-0.656831285	-0.362658987
ENSG00000108176	ENSG00000108176	DNAJC12	chr10:67796664-67838166	1.46271	1.44677	0.0015	0.0146439	yes	1.236487818	1.860783845	1.353565506	1.311114347
ENSG00000178401	ENSG00000178401	DNAJC22	chr12:49346916-49357546	2.75016	1.34405	0.0002	0.00299194	yes	3.512123641	2.794171906	2.395630153	1.724250269
ENSG00000116675	ENSG00000116675	DNAJC6	chr1:65248218-65416006	0.651234	1.11329	0.0046	0.0333293	yes	0.337511208	0.768431872	1.031309747	0.346163094
ENSG00000150760	ENSG00000150760	DOCK1	chr10:126905408-127452517	-0.877615	-1.51186	0.0027	0.0225378	yes	-0.931177199	-0.966684882	-0.546060626	-1.132673755
ENSG00000147459	ENSG00000147459	DOCK5	chr8:25184722-25418082	-0.796244	-0.99939	0.00275	0.0227399	yes	-0.79799771	-0.564916344	-1.0912671	-0.778703125
ENSG00000166171	ENSG00000166171	DPCD	chr10:101570559-101609668	0.721003	1.28984	0.00735	0.0471731	yes	0.748445434	0.457012713	0.651033765	0.978437026
ENSG00000011332	ENSG00000011332	DPF1	chr19:38211005-38229714	-2.61692	-1.60535	5.00E-05	0.000920822	yes	-2.690718759	-2.058297027	-4.450782762	-2.242310015
ENSG00000148399	ENSG00000148399	DPH7	chr9:137554903-137578935	-0.867975	-1.79362	0.00025	0.00355878	yes	-0.414063352	-0.958847188	-0.813528375	-1.483189106
ENSG00000170629	ENSG00000170629	DPY19L2P2	chr7:103175132-103280410	1.70692	2.78281	5.00E-05	0.000920822	yes	1.926552992	1.812800269	2.128445747	0.455665382
ENSG00000157856	ENSG00000157856	DRC1	chr2:26401915-26456711	0.656414	1.72714	0.00025	0.00355878	yes	0.756970332	0.559180506	0.628806428	0.673547368
ENSG00000159625	ENSG00000159625	DRC7	chr16:57668186-57731805	1.17412	1.07318	0.00645	0.0428996	yes	1.79661	0.78540913	1.272952509	0.497759356
ENSG00000134762	ENSG00000134762	DSC3	chr18:30990007-31042815	-0.704956	-1.64515	0.00315	0.0252197	yes	-1.154859138	-0.369836146	-0.854812531	-0.5607934
ENSG00000046604	ENSG00000046604	DSG2	chr18:31498042-31556911	-0.552393	-1.31553	0.00415	0.0308289	yes	-0.852823732	-0.100451924	-0.969229646	-0.453374687
ENSG00000134757	ENSG00000134757	DSG3	chr18:31447794-31478702	-1.05999	-2.99118	5.00E-05	0.000920822	yes	-1.305546832	-0.719549252	-1.796532023	-0.69241938
ENSG00000151914	ENSG00000151914	DST	chr6:56457986-56954628	-0.777154	-0.999435	0.00035	0.00464046	yes	-1.147865179	-0.303661593	-1.376957463	-0.540456859
ENSG00000197057	ENSG00000197057	DTHD1	chr4:36281621-36392410	1.65451	3.92129	5.00E-05	0.000920822	yes	1.433742317	1.547104275	2.207597238	1.232572842
ENSG00000169570	ENSG00000169570	DTWD2	chr5:118837321-118988545	0.708859	1.34334	0.0055	0.0380522	yes	0.077126783	0.938600002	1.117586831	0.481939254
ENSG00000140279	ENSG00000140279	DUOX2	chr15:45092649-45201175	1.29374	1.43487	0.00105	0.011112	yes	1.600500758	0.889294772	1.085191879	1.485479129
ENSG00000120129	ENSG00000120129	DUSP1	chr5:172758225-172777774	-0.650031	-1.95763	0.0002	0.00299194	yes	-1.01751241	-0.375138981	-0.830190163	-0.470705746
ENSG00000143507	ENSG00000143507	DUSP10	chr1:221701423-221742176	-1.25292	-3.05091	5.00E-05	0.000920822	yes	-1.42574524	-1.540164087	-1.465151099	-0.736670678
ENSG00000162999	ENSG00000162999	DUSP19	chr2:183078558-183108519	1.9381	2.4241	5.00E-05	0.000920822	yes	1.527491662	2.042141399	2.543881159	1.319087196
ENSG00000158050	ENSG00000158050	DUSP2	chr2:96143165-96145440	-2.09731	-1.83015	0.00115	0.0118763	yes	-2.811970621	-2.227957006	-1.31424109	-2.500018128
ENSG00000120875	ENSG00000120875	DUSP4	chr8:29333063-29350668	1.25456	3.62283	5.00E-05	0.000920822	yes	1.389000963	1.197189188	1.116060733	1.301216704
ENSG00000138166	ENSG00000138166	DUSP5	chr10:110497837-110511544	-1.53459	-3.78114	5.00E-05	0.000920822	yes	-1.491284085	-1.228746475	-2.413007311	-1.284336583
ENSG00000164086	ENSG00000164086	DUSP7	chr3:52048918-52056550	-1.44502	-4.22275	5.00E-05	0.000920822	yes	-1.580726534	-1.037004012	-2.406351822	-1.12386345
ENSG00000107404	ENSG00000107404	DVL1	chr1:1331313-1349350	-1.16898	-2.20979	5.00E-05	0.000920822	yes	-1.133042478	-1.859326019	-1.362900098	-0.602547701
ENSG00000133665	ENSG00000133665	DYDC2	chr10:80336104-80368073	0.74142	1.95156	0.0002	0.00299194	yes	0.917726871	0.408427475	1.07735073	0.444404216
ENSG00000138036	ENSG00000138036	DYNC2LI1	chr2:43774038-43810010	0.881991	2.44736	5.00E-05	0.000920822	yes	0.938559447	0.789248457	0.932969471	0.862100587
ENSG00000088986	ENSG00000088986	DYNLL1	chr12:120469849-120498493	0.795966	2.27997	5.00E-05	0.000920822	yes	0.797729949	1.033154848	0.868937956	0.415522293
ENSG00000264364	ENSG00000264364	DYNLL2	chr17:58083414-58095536	0.59685	1.74151	0.0005	0.00620361	yes	0.561768956	0.410059209	0.635193953	0.758448521
ENSG00000168589	ENSG00000168589	DYNLRB2	chr16:80065835-80563135	1.3519	2.80529	5.00E-05	0.000920822	yes	1.190275224	1.554357478	1.055494721	1.54227673
ENSG00000146425	ENSG00000146425	DYNLT1	chr6:158636473-158644739	0.463801	1.38401	0.0065	0.0430698	yes	0.546920897	0.277702921	0.40947038	0.599564689
ENSG00000198919	ENSG00000198919	DZIP3	chr3:108589681-108694846	1.20462	2.61592	5.00E-05	0.000920822	yes	0.869606022	1.253940101	1.571514681	1.024914199
ENSG00000165891	ENSG00000165891	E2F7	chr12:77021246-77065580	1.15393	2.90251	5.00E-05	0.000920822	yes	1.237356865	1.039459826	1.668976103	0.387071981
ENSG00000147155	ENSG00000147155	EBP	chrX:48521157-48528716	-0.634191	-1.34925	0.00775	0.0492031	yes	-0.612917846	-1.832581747	-0.102688701	-0.491510822
ENSG00000093144	ENSG00000093144	ECHDC1	chr6:127288709-127343609	0.76154	1.53034	0.00205	0.018538	yes	0.643943076	0.701022067	0.897827849	0.790498752
ENSG00000143369	ENSG00000143369	ECM1	chr1:150508061-150513789	-1.29138	-3.26126	5.00E-05	0.000920822	yes	-1.350144862	-1.556862756	-1.411210978	-0.926581002
ENSG00000131080	ENSG00000131080	EDA2R	chrX:66595636-66639298	1.16499	2.30323	5.00E-05	0.000920822	yes	1.576916441	1.887151338	-0.144917633	0.467287753
ENSG00000116406	ENSG00000116406	EDEM3	chr1:184690230-184754913	1.19049	3.28263	5.00E-05	0.000920822	yes	0.817018934	1.332336276	1.652189664	0.770818998
ENSG00000164176	ENSG00000164176	EDIL3	chr5:83940553-84490765	-0.810274	-1.50164	0.00205	0.018538	yes	-2.320492059	-1.269681015	-0.024436589	-0.550170657
ENSG00000078401	ENSG00000078401	EDN1	chr6:12290362-12297194	-1.32045	-2.52445	5.00E-05	0.000920822	yes	-1.616804106	-0.686949895	-2.542760002	-1.050479805
ENSG00000103319	ENSG00000103319	EEF2K	chr16:22206281-22288738	1.0083	1.44414	0.00035	0.00464046	yes	0.91379918	0.616783176	1.502561508	0.844192665
ENSG00000034239	ENSG00000034239	EFCAB1	chr8:48710788-48735311	1.26556	2.37124	5.00E-05	0.000920822	yes	1.289535272	1.259956335	1.463891956	1.013591955
ENSG00000185055	ENSG00000185055	EFCAB10	chr7:105532084-105600875	1.12241	1.42786	0.00605	0.0410324	yes	0.945636129	1.481441851	1.21109291	0.744126666
ENSG00000203666	ENSG00000203666	EFCAB2	chr1:244969349-245127164	0.854831	1.72977	0.00015	0.00239372	yes	0.694786857	0.975853873	0.891810546	0.842565936
ENSG00000186976	ENSG00000186976	EFCAB6	chr22:43516106-43812337	1.01758	1.36015	0.0008	0.0089782	yes	0.467407273	1.279769323	1.724761793	-0.025972158
ENSG00000163576	ENSG00000163576	EFHB	chr3:19879471-19947025	1.02628	2.02007	5.00E-05	0.000920822	yes	0.682991388	1.180586019	1.145717149	1.04429602
ENSG00000183690	ENSG00000183690	EFHC2	chrX:44147881-44343672	1.18732	2.83526	5.00E-05	0.000920822	yes	1.152521215	1.407875234	1.390617978	0.687738209
ENSG00000090776	ENSG00000090776	EFNB1	chrX:68828996-68842147	-1.02744	-2.81104	5.00E-05	0.000920822	yes	-1.276618609	-1.072645323	-1.114688974	-0.707631371
ENSG00000146648	ENSG00000146648	EGFR	chr7:55019020-55256620	-1.05279	-1.82566	5.00E-05	0.000920822	yes	-1.322717958	-0.672344107	-1.242577145	-1.064134038
ENSG00000110047	ENSG00000110047	EHD1	chr11:64851641-64888296	-0.986638	-1.47503	0.0037	0.0285379	yes	-1.184715826	-1.498079014	-0.671006752	-0.745151544
ENSG00000024422	ENSG00000024422	EHD2	chr19:47607523-47743134	-0.796606	-1.54746	0.00105	0.011112	yes	-1.314598826	-1.260519841	-0.586341688	-0.290975376
ENSG00000255302	ENSG00000255302	EID1	chr15:48823734-48963444	0.9088	2.21849	5.00E-05	0.000920822	yes	1.029553713	0.755771798	0.979773059	0.854278109
ENSG00000173812	ENSG00000173812	EIF1	chr17:41688884-41692668	-0.901645	-2.359	5.00E-05	0.000920822	yes	-0.955880231	-0.81214632	-1.678327683	-0.427407127
ENSG00000106263	ENSG00000106263	EIF3B	chr7:2251769-2380745	-0.845485	-1.56545	0.0025	0.0212968	yes	-0.691096921	-0.934555572	-0.635915687	-1.184503123
ENSG00000175390	ENSG00000175390	EIF3F	chr11:7970250-8001862	-0.631455	-1.57507	0.00155	0.0150178	yes	-0.877069819	-1.025650637	-0.478077414	-0.271402314
ENSG00000084623	ENSG00000084623	EIF3I	chr1:32209093-32231604	-0.729641	-1.44119	0.00555	0.0383417	yes	-0.609536351	-1.157050146	-0.502264201	-0.731254379
ENSG00000149100	ENSG00000149100	EIF3M	chr11:32583797-32794658	-0.795704	-1.72086	0.0006	0.00716698	yes	-0.945501808	-0.991130277	-0.522442624	-0.771709213
ENSG00000063046	ENSG00000063046	EIF4B	chr12:53006157-53079420	-0.582226	-1.25564	0.0042	0.0310206	yes	-0.706824436	-0.37537077	-0.887487064	-0.419666309
ENSG00000148730	ENSG00000148730	EIF4EBP2	chr10:70404378-70428618	0.797314	2.39558	5.00E-05	0.000920822	yes	0.663338692	0.777690653	1.010576942	0.71247599
ENSG00000120690	ENSG00000120690	ELF1	chr13:40931919-41084006	-0.515949	-1.44734	0.0033	0.0261534	yes	-0.547188904	-0.314304299	-0.244339213	-1.106139361
ENSG00000135374	ENSG00000135374	ELF5	chr11:34478792-34513805	0.906507	1.42981	0.0033	0.0261534	yes	0.814919066	0.794683189	1.174416944	0.804957355
ENSG00000118402	ENSG00000118402	ELOVL4	chr6:79914811-79947580	-1.16157	-2.90214	5.00E-05	0.000920822	yes	-1.249945385	-0.588285463	-1.821791761	-1.252813921
ENSG00000164181	ENSG00000164181	ELOVL7	chr5:60751790-60844389	-1.30043	-2.56294	5.00E-05	0.000920822	yes	-1.485174637	-0.462114471	-2.218171796	-1.617111757
ENSG00000170571	ENSG00000170571	EMB	chr5:50396191-50443248	0.652677	1.87558	0.00025	0.00355878	yes	0.545347816	0.905489013	0.716322823	0.392638857
ENSG00000104412	ENSG00000104412	EMC2	chr8:108443600-108486918	-0.76928	-1.49031	0.0029	0.0237712	yes	-0.918788722	-0.894381709	-0.265190416	-1.159001991
ENSG00000102119	ENSG00000102119	EMD	chrX:154379196-154381523	-0.906966	-2.14839	5.00E-05	0.000920822	yes	-0.788947468	-1.411486579	-0.607728713	-0.937044501
ENSG00000134531	ENSG00000134531	EMP1	chr12:13196715-13219939	-1.65596	-3.07606	5.00E-05	0.000920822	yes	-2.002921391	-1.178524297	-2.527580117	-1.305497885
ENSG00000213853	ENSG00000213853	EMP2	chr16:10528421-10580698	0.835949	2.36091	5.00E-05	0.000920822	yes	0.607251416	0.649741805	1.262305335	0.721666302
ENSG00000142227	ENSG00000142227	EMP3	chr19:48296456-48330553	-2.09617	-1.4212	0.0025	0.0212968	yes	-2.797657731	-2.134829784	-2.142825021	-1.566785243
ENSG00000149218	ENSG00000149218	ENDOD1	chr11:95089809-95132645	-0.538408	-1.61087	0.0013	0.0129788	yes	-0.832886603	-0.327447845	-0.779515253	-0.298306179
ENSG00000151023	ENSG00000151023	ENKUR	chr10:24981978-25062279	1.30417	1.9932	0.0002	0.00299194	yes	1.380817825	1.170807942	1.521294325	1.105434134
ENSG00000001561	ENSG00000001561	ENPP4	chr6:46129992-46146699	1.3456	3.5946	5.00E-05	0.000920822	yes	0.950977347	1.733583503	1.464868468	1.101872708
ENSG00000112796	ENSG00000112796	ENPP5	chr6:46159186-46170971	1.48048	2.48398	5.00E-05	0.000920822	yes	1.348143325	1.802224726	1.713328953	0.886789159
ENSG00000197586	ENSG00000197586	ENTPD6	chr20:25195692-25226735	-0.737293	-1.66489	0.0002	0.00299194	yes	-0.405458392	-0.936967983	-0.911974009	-0.759563572
ENSG00000119888	ENSG00000119888	EPCAM	chr2:47345157-47387601	0.965779	2.34111	5.00E-05	0.000920822	yes	1.095496976	1.058573814	0.876567793	0.812881193
ENSG00000086289	ENSG00000086289	EPDR1	chr7:37683795-38025695	-1.00489	-1.94326	5.00E-05	0.000920822	yes	-1.146875961	-0.893928729	-0.958673159	-1.032245978
ENSG00000142627	ENSG00000142627	EPHA2	chr1:16124336-16157329	-0.988561	-1.99416	5.00E-05	0.000920822	yes	-0.874898285	-0.991157462	-1.42554487	-0.748369171
ENSG00000143819	ENSG00000143819	EPHX1	chr1:225810091-225882369	1.10319	2.23375	5.00E-05	0.000920822	yes	1.193055566	0.889075838	0.785667283	1.44937385
ENSG00000172031	ENSG00000172031	EPHX4	chr1:92029981-92063536	1.75393	1.46451	0.00525	0.0368466	yes	2.104520833	1.418240126	1.636430947	1.769311127
ENSG00000127527	ENSG00000127527	EPS15L1	chr19:16355238-16472085	-0.572291	-1.12487	0.0053	0.0369951	yes	-0.444871761	-1.101585798	-0.609996329	-0.261290351
ENSG00000131037	ENSG00000131037	EPS8L1	chr19:55072019-55087923	-1.38938	-2.52023	5.00E-05	0.000920822	yes	-0.92336458	-1.731321904	-2.003480533	-1.154996604
ENSG00000198758	ENSG00000198758	EPS8L3	chr1:109712254-109775428	1.99503	0.643442	0.0064	0.0426274	yes	3.31751441	-1.677574819	2.301898591	-0.450447462
ENSG00000133106	ENSG00000133106	EPSTI1	chr13:42886387-42992271	2.29448	0.763249	0.0006	0.00716698	yes	0.884002644	1.684382337	3.545002733	1.531733376
ENSG00000175595	ENSG00000175595	ERCC4	chr16:13920156-13952345	1.82145	1.54849	5.00E-05	0.000920822	yes	1.626623586	2.486808935	1.504494329	1.382364398
ENSG00000124882	ENSG00000124882	EREG	chr4:74365142-74388751	-1.00823	-2.30941	5.00E-05	0.000920822	yes	-1.308863184	-0.069841558	-2.349230388	-1.197628076
ENSG00000178965	ENSG00000178965	ERICH3	chr1:74568110-74673738	0.783759	1.54094	0.00175	0.0164144	yes	0.61942684	0.622706581	1.254150326	0.511105014
ENSG00000099219	ENSG00000099219	ERMP1	chr9:5629024-5833117	-0.697056	-1.75409	0.00035	0.00464046	yes	-0.904017731	-0.501732868	-0.843611211	-0.579016969
ENSG00000178607	ENSG00000178607	ERN1	chr17:64039141-64130819	-0.79189	-1.28676	0.00245	0.0210488	yes	-0.919852879	-0.186882501	-1.342556343	-0.97437827
ENSG00000116285	ENSG00000116285	ERRFI1	chr1:8004403-8026308	-1.43386	-3.44077	5.00E-05	0.000920822	yes	-1.463137536	-0.564807257	-2.741580241	-1.774522993
ENSG00000196482	ENSG00000196482	ESRRG	chr1:216503245-217137755	2.15016	1.12094	5.00E-05	0.000920822	yes	1.548184145	1.682882558	3.160282261	1.422168141
ENSG00000143971	ENSG00000143971	ETAA1	chr2:67397318-67410545	0.940317	1.71029	0.00145	0.0142445	yes	1.090247017	0.8445974	0.988458289	0.821188969
ENSG00000105755	ENSG00000105755	ETHE1	chr19:43506718-43536130	-1.00099	-2.7397	5.00E-05	0.000920822	yes	-1.141836544	-1.480391427	-0.708323875	-0.798306695
ENSG00000143845	ENSG00000143845	ETNK2	chr1:204131061-204152003	-0.807547	-1.61139	0.0004	0.00515795	yes	-1.203402289	-0.655107918	-1.576792588	-0.182940649
ENSG00000134954	ENSG00000134954	ETS1	chr11:128458760-128587558	-1.24421	-2.97854	5.00E-05	0.000920822	yes	-1.528758204	-1.014080942	-1.571007739	-0.970684629
ENSG00000157557	ENSG00000157557	ETS2	chr21:38805306-38824955	-1.07633	-2.39457	5.00E-05	0.000920822	yes	-1.483356104	-0.795655328	-1.529653002	-0.697040706
ENSG00000072840	ENSG00000072840	EVC	chr4:5711196-5893058	-0.88244	-1.14377	0.00185	0.0170798	yes	-0.773994834	-1.07860355	-0.583296528	-1.171130438
ENSG00000196405	ENSG00000196405	EVL	chr14:99971448-100160163	-1.09421	-1.13408	0.0032	0.0255764	yes	-0.432734906	-1.335842307	-1.378000176	-1.507175261
ENSG00000081177	ENSG00000081177	EXD2	chr14:69183019-69359308	0.571448	1.30412	0.0039	0.0294999	yes	0.675817628	0.595496869	0.533700657	0.472926383
ENSG00000171824	ENSG00000171824	EXOSC10	chr1:11066617-11102100	-0.661307	-1.18345	0.00465	0.0335366	yes	-0.516209042	-0.716077708	-1.075906536	-0.421030861
ENSG00000223496	ENSG00000223496	EXOSC6	chr16:70246777-70251930	0.522444	1.40441	0.00355	0.0276684	yes	0.405385605	0.438300228	0.741823935	0.47903034
ENSG00000110723	ENSG00000110723	EXPH5	chr11:108505430-108593738	1.27001	3.40955	5.00E-05	0.000920822	yes	0.909201607	1.381695535	1.719710091	0.902350598
ENSG00000162694	ENSG00000162694	EXTL2	chr1:100872371-100895998	1.192	1.97577	5.00E-05	0.000920822	yes	1.345163878	1.282883957	1.342537854	0.703931252
ENSG00000181104	ENSG00000181104	F2R	chr5:76403248-76735781	-0.892008	-1.7858	0.001	0.0106629	yes	-1.084166592	-0.236771139	-1.253034848	-1.266793223
ENSG00000164251	ENSG00000164251	F2RL1	chr5:76818932-76835315	-0.784808	-2.29163	5.00E-05	0.000920822	yes	-0.835296075	-0.861786829	-0.660220277	-0.790376643
ENSG00000103089	ENSG00000103089	FA2H	chr16:74712954-74774831	-1.51351	-2.26074	5.00E-05	0.000920822	yes	-1.621393194	-1.947155579	-1.454975216	-1.145849801
ENSG00000185504	ENSG00000185504	FAAP100	chr17:81539884-81553961	-0.743823	-1.40234	0.00385	0.0293261	yes	-0.174300642	-1.277339532	-0.671955625	-1.113384117
ENSG00000185104	ENSG00000185104	FAF1	chr1:50437027-50960263	-0.631594	-1.47997	0.0029	0.0237712	yes	-0.915876078	-0.500719799	-0.64657353	-0.501688796
ENSG00000158234	ENSG00000158234	FAIM	chr3:138608605-138633376	1.00077	1.38192	0.0031	0.0248758	yes	0.676669157	1.052815667	0.701866675	1.435429655
ENSG00000065809	ENSG00000065809	FAM107B	chr10:14518556-14774897	0.503915	1.10603	0.0043	0.0315445	yes	0.396544964	0.748633892	0.477442468	0.359977097
ENSG00000125898	ENSG00000125898	FAM110A	chr20:833714-857463	-0.877847	-1.69839	0.00085	0.00938259	yes	-0.742388835	-1.177616916	-0.766512921	-0.864994722
ENSG00000184731	ENSG00000184731	FAM110C	chr2:38813-46870	-0.679396	-1.31222	0.0066	0.0435483	yes	-0.736637022	-0.286662952	-0.784388733	-1.008168355
ENSG00000166801	ENSG00000166801	FAM111A	chr11:59130132-59155039	1.00885	1.85185	5.00E-05	0.000920822	yes	1.166501789	1.161608494	1.290217759	0.165837815
ENSG00000189057	ENSG00000189057	FAM111B	chr11:59107184-59127410	2.83915	1.1044	5.00E-05	0.000920822	yes	1.546506411	2.149695196	3.850037941	2.77508721
ENSG00000112584	ENSG00000112584	FAM120B	chr6:170282205-170407065	1.07096	1.91696	0.00015	0.00239372	yes	1.153322922	1.182040888	1.242490538	0.626690131
ENSG00000184083	ENSG00000184083	FAM120C	chrX:54068323-54183281	1.43535	2.03819	5.00E-05	0.000920822	yes	1.297894122	1.553155325	1.774634651	1.002257924
ENSG00000135842	ENSG00000135842	FAM129A	chr1:184790723-184974550	-0.875449	-2.13377	5.00E-05	0.000920822	yes	-0.869374954	-0.73467449	-1.238548293	-0.717389538
ENSG00000136830	ENSG00000136830	FAM129B	chr9:127505338-127578989	-1.17284	-1.63543	0.0007	0.00806114	yes	-1.171367234	-1.026612039	-1.469557655	-1.064195222
ENSG00000138640	ENSG00000138640	FAM13A	chr4:88709788-89111398	1.2305	1.70479	0.00035	0.00464046	yes	1.193139627	0.871353379	1.983944873	0.394296963
ENSG00000152380	ENSG00000152380	FAM151B	chr5:80482292-80542563	1.08315	1.56054	0.00115	0.0118763	yes	1.05537821	1.368513999	1.156088408	0.665231997
ENSG00000051009	ENSG00000051009	FAM160A2	chr11:6211334-6234711	-0.928485	-2.22457	5.00E-05	0.000920822	yes	-0.495827806	-0.735084265	-1.13176683	-1.576283976
ENSG00000158863	ENSG00000158863	FAM160B2	chr8:22089158-22104898	-0.871396	-1.39027	0.00315	0.0252197	yes	-0.645971776	-0.919233403	-0.76411316	-1.218245638
ENSG00000150756	ENSG00000150756	FAM173B	chr5:10226329-10249915	1.16767	2.12098	5.00E-05	0.000920822	yes	1.195125532	1.427409708	1.465453054	0.316319024
ENSG00000174132	ENSG00000174132	FAM174A	chr5:100535304-100586741	0.974018	2.36838	5.00E-05	0.000920822	yes	0.75838657	1.614350189	0.618857283	0.649124117
ENSG00000186973	ENSG00000186973	FAM183A	chr1:43145152-43156396	1.02108	1.52169	0.00285	0.0233886	yes	1.337348687	0.524549073	0.841247425	1.239274098
ENSG00000106125	ENSG00000106125	FAM188B	chr7:30651942-30925516	1.02586	1.86243	0.0008	0.0089782	yes	0.947634064	0.925090444	1.361135188	0.805951783
ENSG00000160767	ENSG00000160767	FAM189B	chr1:155247204-155255483	-0.554409	-1.43206	0.0036	0.0279808	yes	-0.564788665	-0.906231401	-0.521351672	-0.290906787
ENSG00000146067	ENSG00000146067	FAM193B	chr5:177519787-177554541	-1.32479	-2.00575	0.0001	0.00170374	yes	-0.67631262	-1.4858345	-1.821270267	-1.594880801
ENSG00000225663	ENSG00000225663	FAM195B	chr17:81822360-81833302	-0.882573	-1.14964	0.0068	0.0444727	yes	-0.802998112	-1.527046597	-0.545636685	-0.825300455
ENSG00000164125	ENSG00000164125	FAM198B	chr4:158124473-158255411	2.07041	1.96212	5.00E-05	0.000920822	yes	2.224735698	2.298634672	2.107500343	1.53437391
ENSG00000005238	ENSG00000005238	FAM214B	chr9:35104111-35116341	-1.01251	-2.82494	5.00E-05	0.000920822	yes	-0.996968196	-0.759663398	-1.561501498	-0.856614114
ENSG00000179813	ENSG00000179813	FAM216B	chr13:42781549-42791549	1.31875	3.86193	5.00E-05	0.000920822	yes	1.214437798	1.454222468	1.505328013	1.055569115
ENSG00000184949	ENSG00000184949	FAM227A	chr22:38578119-38656629	1.223	1.16683	0.0062	0.0416691	yes	1.060663042	1.332181814	1.666418721	0.640874861
ENSG00000203778	ENSG00000203778	FAM229B	chr6:112087598-112102790	1.174	1.5995	0.00175	0.0164144	yes	0.703413277	1.320193519	1.216062288	1.365679334
ENSG00000084444	ENSG00000084444	FAM234B	chr12:13044283-13142521	0.893437	1.34995	0.0009	0.00981167	yes	0.768022906	1.100554995	0.902103527	0.777617267
ENSG00000183844	ENSG00000183844	FAM3B	chr21:41304211-41357431	1.26708	1.85052	0.0004	0.00515795	yes	1.13009294	-0.332663375	1.90535076	1.535135793
ENSG00000112773	ENSG00000112773	FAM46A	chr6:81491438-81752774	-0.841053	-2.18628	5.00E-05	0.000920822	yes	-1.096286302	-0.580571229	-0.871230653	-0.862901676
ENSG00000158246	ENSG00000158246	FAM46B	chr1:27005019-27012836	-1.03484	-1.76567	0.001	0.0106629	yes	-0.896436989	-1.507150063	-0.288955147	-2.030547627
ENSG00000183508	ENSG00000183508	FAM46C	chr1:117605933-117628372	1.95081	3.87212	5.00E-05	0.000920822	yes	1.825716903	1.496862454	2.786606323	1.13521102
ENSG00000197872	ENSG00000197872	FAM49A	chr2:16549458-16666331	-1.8498	-1.6868	0.0002	0.00299194	yes	-1.880519953	-1.907088652	-2.190510518	-1.504559976
ENSG00000145945	ENSG00000145945	FAM50B	chr6:3831932-3855737	1.1257	1.38817	0.00715	0.046226	yes	0.350333621	0.882232286	1.70449644	1.233304904
ENSG00000120709	ENSG00000120709	FAM53C	chr5:138285264-138349729	0.62258	1.42142	0.0021	0.0188692	yes	0.628522825	0.763128168	0.497721076	0.588202547
ENSG00000039523	ENSG00000039523	FAM65A	chr16:67517861-67546788	-1.16155	-2.2059	5.00E-05	0.000920822	yes	-0.824817953	-1.575012416	-1.323916645	-1.033597571
ENSG00000111913	ENSG00000111913	FAM65B	chr6:24797320-25057073	3.0407	1.70942	5.00E-05	0.000920822	yes	2.74042484	2.806835297	3.77158023	2.479822702
ENSG00000157470	ENSG00000157470	FAM81A	chr15:59105077-59523549	1.24459	0.660238	0.00505	0.0357992	yes	0.974627871	1.359024245	1.429941851	1.172112202
ENSG00000153347	ENSG00000153347	FAM81B	chr5:95391343-95450454	1.14755	2.12659	5.00E-05	0.000920822	yes	1.173826736	0.841338071	1.13727718	1.386294818
ENSG00000133477	ENSG00000133477	FAM83F	chr22:39994948-40044530	-1.15306	-1.84907	5.00E-05	0.000920822	yes	-1.539279774	-1.176859071	-1.278225497	-0.736938416
ENSG00000188522	ENSG00000188522	FAM83G	chr17:18950344-19047637	-0.749799	-1.80296	0.0002	0.00299194	yes	-0.448957001	-0.721165442	-1.243829541	-0.695919594
ENSG00000180921	ENSG00000180921	FAM83H	chr8:143723932-143733801	-0.614969	-1.77464	0.0003	0.00412888	yes	-0.609305956	-0.692861712	-0.87782675	-0.333776573
ENSG00000203499	ENSG00000203499	FAM83H-AS1	chr8:143734139-143746337	1.12595	2.65333	5.00E-05	0.000920822	yes	1.341590569	0.645342825	1.248426005	1.173487102
