Tracking_ID	gene_id	gene	locus	BAP10_log2(fold_change)	BAP10_q_value	BAP10_significant	BaP10_Log2FC_0	BaP10_Log2FC_1	BaP10_Log2FC_2
ENSDARG00000093058	ENSDARG00000093058	si:dkey-13i19.8	4:15852906-15854139	0.857576	0.0174431	yes	0.534803298	1.249225098	0.775149696
ENSDARG00000040128	ENSDARG00000040128	hint1	10:6234943-6238930	-0.716167	0.0174431	yes	-0.98260447	-0.33451504	-0.832437803
ENSDARG00000056938	ENSDARG00000056938	kera	4:15405339-15413411	-0.672526	0.0174431	yes	-0.5195621	-0.631884159	-0.799159308
ENSDARG00000052215	ENSDARG00000052215	btr02	3:47625624-47637219	1.19484	0.0199581	yes	0.800616708	1.319731076	1.463742738
ENSDARG00000088371	ENSDARG00000088371	junbb	3:8434975-8436624	0.787858	0.0199581	yes	0.696567938	0.966322257	0.768369029
ENSDARG00000057026	ENSDARG00000057026	ran	14:22686803-22695181	-0.773969	0.0199581	yes	-0.803105534	-0.726453047	-0.712750252
ENSDARG00000005593	ENSDARG00000005593	RXRG (2 of 2)	2:20495130-20546256	-0.867645	0.0199581	yes	-0.83551445	-0.653319013	-1.062238921
ENSDARG00000089610	ENSDARG00000089610	pbx1a	2:19717558-19749261	-0.681136	0.0199581	yes	-0.644823696	-0.804221795	-0.526759026
ENSDARG00000058601	ENSDARG00000058601	gdap1	24:14617908-14629906	0.86097	0.0199581	yes	0.789327112	1.132783875	0.704394681
ENSDARG00000059978	ENSDARG00000059978	cplx4a	21:9273655-9289868	1.37991	0.0199581	yes	1.537198204	0.99123122	1.616225663
ENSDARG00000020028	ENSDARG00000020028	cps1	9:40079431-40189074	-0.788948	0.0199581	yes	-0.672822423	-0.995780405	-0.643598984
ENSDARG00000010478	ENSDARG00000010478	hsp90aa1.1	20:54337467-54351275	0.654961	0.0199581	yes	0.376919314	0.910515618	0.709277261
ENSDARG00000063297	ENSDARG00000063297	abcb6	1:4998835-5022269	0.894521	0.0224996	yes	0.959891321	0.906028299	0.897860692
ENSDARG00000032496	ENSDARG00000032496	zgc:91887	16:26885892-26895558	0.769686	0.0224996	yes	0.601347337	0.882095688	0.888558532
ENSDARG00000036494	ENSDARG00000036494	gstcd	1:50458789-50572686	-1.18667	0.0224996	yes	-1.121755848	-1.007872258	-1.372969958
ENSDARG00000055133	ENSDARG00000055133	cenpf	17:32927922-32948802	-0.635456	0.0224996	yes	-0.620509193	-0.570610477	-0.634878344
ENSDARG00000056873	ENSDARG00000056873	and3	10:23048765-23054968	-0.590063	0.0224996	yes	-0.508883469	-0.526450679	-0.658527135
ENSDARG00000061732	ENSDARG00000061732	RAPH1 (2 of 2)	1:28609575-28692942	-0.703032	0.0224996	yes	-0.660606979	-0.72707776	-0.641552455
ENSDARG00000074255	ENSDARG00000074255	EFHA2 (2 of 2)	14:31329156-31360011	0.834854	0.0224996	yes	1.033499578	0.573328627	0.938926918
ENSDARG00000032564	ENSDARG00000032564	ass1	5:500769-542621	-0.831778	0.0253343	yes	-0.604629576	-1.078187983	-0.771052753
ENSDARG00000043453	ENSDARG00000043453	rps5	15:38602103-38608917	-0.634848	0.0253343	yes	-0.616449553	-0.513762041	-0.699241802
ENSDARG00000077938	ENSDARG00000077938	cd248b	21:25887180-25889187	-0.685231	0.0253343	yes	-0.521279644	-0.583001393	-0.897617406
ENSDARG00000014340	ENSDARG00000014340	rab11al	16:49892215-49908891	0.835992	0.0253343	yes	1.129111198	0.850080584	0.552597677
ENSDARG00000027547	ENSDARG00000027547	TPGS1 (2 of 2)	2:58698171-58710329	-1.77358	0.0277835	yes	-1.937836617	-1.435290959	-1.925693272
ENSDARG00000075296	ENSDARG00000075296	FAM83C	6:52415239-52435263	0.875252	0.0277835	yes	0.797691078	0.77426275	1.110084379
ENSDARG00000036245	ENSDARG00000036245	WIPF3	19:20157820-20166702	-0.75063	0.0277835	yes	-0.709154997	-0.896669063	-0.582054918
ENSDARG00000090966	ENSDARG00000090966	SAMD14	12:8859125-8884567	-0.900024	0.0277835	yes	-0.856903042	-0.86760238	-0.895007714
ENSDARG00000054942	ENSDARG00000054942	lgals2a	3:29104392-29111376	0.666767	0.0296955	yes	0.329493171	0.811552954	0.879990532
ENSDARG00000003102	ENSDARG00000003102	zgc:101130	22:2591803-2597305	-0.689042	0.0296955	yes	-0.647858366	-0.629506209	-0.709917593
ENSDARG00000063420	ENSDARG00000063420	TOX4 (1 of 2)	Zv9_NA972:2069-15965	-0.813514	0.0296955	yes	-0.77948927	-0.667957653	-0.92297605
ENSDARG00000055389	ENSDARG00000055389	SRRM2	9:36885219-36895301	-0.781677	0.0296955	yes	-0.678311417	-0.829777063	-0.759698493
ENSDARG00000095863	ENSDARG00000095863	zgc:161979	16:48978542-48981385	-0.597018	0.0296955	yes	-0.59709316	-0.421842002	-0.705275071
ENSDARG00000001437	ENSDARG00000001437	slc2a1a	23:22494608-22506777	-1.29407	0.0296955	yes	-1.149155711	-1.406906906	-1.256750261
ENSDARG00000091760	ENSDARG00000091760	cwf19l2	15:43084429-43148707	-0.760056	0.0296955	yes	-0.451511178	-0.859686538	-0.936046647
ENSDARG00000076224	ENSDARG00000076224	CD58 (1 of 2)	9:23412-25392	-1.29018	0.0296955	yes	-0.858073974	-1.359300221	-1.696470016
ENSDARG00000089885	ENSDARG00000089885	slc16a12b	12:18034666-18053920	0.807138	0.0296955	yes	0.786816606	0.80227499	0.909759231
ENSDARG00000074229	ENSDARG00000074229	PRR12 (1 of 2)	12:5347852-5377926	-0.710663	0.0321095	yes	-0.630868361	-0.77383766	-0.650150636
ENSDARG00000086561	ENSDARG00000086561	tk1	11:45704913-45908399	-1.24454	0.0321095	yes	-0.93255407	-1.239717562	-1.544590468
ENSDARG00000079111	ENSDARG00000079111	zgc:86725	25:14370302-14386174	-0.673858	0.0321095	yes	-0.679870467	-0.376437104	-0.939908956
ENSDARG00000062226	ENSDARG00000062226	ino80db	6:13142908-13164826	-0.614349	0.0321095	yes	-0.539329566	-0.708411913	-0.521703487
ENSDARG00000017739	ENSDARG00000017739	ak5l	5:67445677-67471295	0.784469	0.034328	yes	0.968017538	0.580275942	0.859253977
ENSDARG00000086345	ENSDARG00000086345	cux2	8:4354704-4527736	-0.902878	0.034328	yes	-1.262026117	-1.868831067	-2.046928087
ENSDARG00000045513	ENSDARG00000045513	taf3	4:24171360-24255591	-0.609214	0.034328	yes	-0.59447833	-0.556821542	-0.595476777
ENSDARG00000005230	ENSDARG00000005230	ssr2	19:11721332-11728971	-0.607284	0.034328	yes	-0.71683544	-0.436188132	-0.601378876
ENSDARG00000059387	ENSDARG00000059387	fgf7	18:4835734-4866278	2.94323	0.0364595	yes	3.293797453	2.873886806	2.672293114
ENSDARG00000070012	ENSDARG00000070012	sesn2	19:45226142-45242485	0.920935	0.0364595	yes	1.20086949	0.787006005	0.817876997
ENSDARG00000013489	ENSDARG00000013489	GLTSCR2	15:6532401-6546523	-0.686722	0.0364595	yes	-0.550953944	-0.843119162	-0.601495068
ENSDARG00000011921	ENSDARG00000011921	txnl1	21:1107701-1118851	-0.642443	0.0364595	yes	-0.669349161	-0.522743425	-0.658505087
ENSDARG00000037116	ENSDARG00000037116	cxcl12a	13:31027968-31043317	-0.619975	0.0364595	yes	-0.618509879	-0.648740048	-0.514898737
ENSDARG00000036186	ENSDARG00000036186	mbpa	19:22298343-22316927	1.11545	0.0364595	yes	1.10202451	1.217394263	1.103163192
ENSDARG00000008403	ENSDARG00000008403	phospho1	3:15410515-15415636	0.750508	0.0387574	yes	0.790160614	0.77499928	0.767156414
ENSDARG00000013750	ENSDARG00000013750	eno1b	6:40592566-40600270	0.877292	0.0387574	yes	0.990105567	0.737593672	0.970818067
ENSDARG00000045685	ENSDARG00000045685	cntn1b	4:12798361-12821240	0.642785	0.0387574	yes	0.632815523	0.710043041	0.664975866
ENSDARG00000035519	ENSDARG00000035519	histh1l	5:29077506-29078900	0.576157	0.0406088	yes	0.651323388	0.51957417	0.63466831
ENSDARG00000007221	ENSDARG00000007221	pbk	20:39385052-39392715	-0.796257	0.0406088	yes	-0.590252759	-0.707764866	-1.046557388
ENSDARG00000013576	ENSDARG00000013576	gadd45bb	2:36660581-36662821	1.10632	0.0406088	yes	0.779810954	1.29441341	1.268892824
ENSDARG00000058462	ENSDARG00000058462	zgc:158846	6:39267594-39275123	0.795192	0.0406088	yes	0.764721148	1.040117105	0.630869781
ENSDARG00000013382	ENSDARG00000013382	zgc:86607	5:25245262-25252381	-0.596394	0.0406088	yes	-0.647977129	-0.44036917	-0.629194855
ENSDARG00000078080	ENSDARG00000078080	pknox1.1	9:20567673-20621658	-1.73418	0.0406088	yes	-1.340816674	-1.514332829	-2.526904656
ENSDARG00000071237	ENSDARG00000071237	snapc3	1:27049292-27149849	-1.12745	0.0406088	yes	-1.351700717	-0.627654333	-1.473430207
ENSDARG00000061165	ENSDARG00000061165	slc6a4a	15:27957908-27967386	0.778468	0.0422498	yes	0.734019537	0.987741215	0.675060977
ENSDARG00000093232	ENSDARG00000093232	si:dkey-202p8.1	16:32341424-32375366	-0.840807	0.0422498	yes	-0.985511872	-0.797307567	-0.674922415
ENSDARG00000010085	ENSDARG00000010085	p4ha2	21:41503344-41537355	0.601261	0.0422498	yes	0.5594735	0.72145399	0.59855763
ENSDARG00000015314	ENSDARG00000015314	zc4h2	5:23857037-23866246	-0.655294	0.0422498	yes	-0.563187965	-0.558297228	-0.773523344
ENSDARG00000042974	ENSDARG00000042974	sypa	8:23784369-23800200	0.614352	0.0422498	yes	0.544241294	0.796518407	0.568489794
ENSDARG00000090268	ENSDARG00000090268	KRT23 (12 of 15)	19:5963566-5970135	-0.62606	0.0422498	yes	-0.5824879	-0.506902317	-0.715658769
ENSDARG00000006982	ENSDARG00000006982	msxd	21:40051374-40054278	0.685216	0.0443447	yes	0.710137443	0.647869705	0.775944648
ENSDARG00000045824	ENSDARG00000045824	FAM3D	25:20223775-20230038	0.751902	0.0443447	yes	0.49729128	0.907298237	0.89551852
ENSDARG00000061379	ENSDARG00000061379	cmya5	5:53709837-53742468	0.69966	0.0443447	yes	1.066197743	0.774075679	0.214564215
ENSDARG00000001993	ENSDARG00000001993	myhb	6:40676631-40686586	0.614268	0.0443447	yes	0.899276448	0.394900908	0.58396083
ENSDARG00000038147	ENSDARG00000038147	hbbe3	12:21691905-21693036	-0.762421	0.0461122	yes	-1.337978129	-0.403495139	-0.620214658
ENSDARG00000028957	ENSDARG00000028957	maff	12:20437067-20442960	0.622612	0.0461122	yes	0.625146238	0.531608527	0.78084376
ENSDARG00000021833	ENSDARG00000021833	ahr2	22:13185562-13304479	0.581871	0.0461122	yes	0.659325091	0.510808848	0.651532978
ENSDARG00000052150	ENSDARG00000052150	pbx4	3:53638911-53714493	-0.655242	0.0461122	yes	-0.766289832	-0.565814962	-0.561689391
ENSDARG00000062667	ENSDARG00000062667	MPP3 (2 of 2)	12:17311638-17349353	0.836598	0.0461122	yes	0.778630273	0.803659912	0.998500847
ENSDARG00000057427	ENSDARG00000057427	SV2B (3 of 3)	7:16034938-16074849	0.801943	0.0461122	yes	0.835749723	0.7109192	0.931542995
ENSDARG00000055045	ENSDARG00000055045	casp3b	14:4304678-4324092	0.740175	0.0479582	yes	0.641049352	0.682654848	0.957256467
ENSDARG00000020115	ENSDARG00000020115	sars2	15:13530572-13555027	0.93092	0.0479582	yes	0.873743417	1.071786319	0.919717005
ENSDARG00000036764	ENSDARG00000036764	hax1	19:8421571-8427668	0.642135	0.0479582	yes	0.627300218	0.78407569	0.588050768
ENSDARG00000061543	ENSDARG00000061543	ccdc85b	14:31598785-31602938	-1.97067	0.0479582	yes	-1.892149414	-2.093813642	-1.85579573
ENSDARG00000019318	ENSDARG00000019318	CR354540.2	7:59462679-59488861	-1.00349	0.0479582	yes	-0.952124084	-1.046895132	-0.932230965
